Force(N),Distance(mm),Time(ms)
-0.005646758,102,127
-0.005847564,99,166
-0.005616636,98,259
-0.005476072,100,352
-0.005104578,100,451
-0.005566435,102,538
-0.005215023,98,631
-0.005014215,97,724
-0.005245143,102,817
-0.005536314,102,909
-0.005797362,104,1002
-0.00598813,101,1113
-0.005827484,101,1188
-0.005937927,103,1291
-0.00598813,99,1374
-0.005817443,97,1467
-0.005676879,104,1560
-0.005516233,100,1652
-0.005405789,100,1745
-0.005747161,102,1838
-0.005867645,99,1931
-0.005586515,101,2029
-0.005737121,99,2140
-0.00600821,100,2210
-0.005686918,96,2303
-0.005646758,99,2395
-0.006038331,101,2488
-0.005757201,100,2581
-0.00541583,98,2674
-0.005857605,99,2767
-0.006319461,100,2873
-0.006309421,100,2953
-0.005817443,98,3046
-0.005646758,99,3157
-0.005626677,98,3231
-0.005546354,101,3324
-0.00601825,99,3417
-0.00572708,103,3510
-0.00572708,99,3603
-0.00572708,98,3696
-0.005827484,102,3789
-0.00571704,96,3881
-0.00515478,100,3974
-0.005134699,97,4067
-0.005536314,97,4178
-0.005797362,100,4253
-0.005546354,99,4346
-0.005466031,102,4439
-0.005496152,95,4532
-0.004853569,99,4625
-0.005325466,99,4717
-0.00542587,97,4810
-0.005526273,100,4903
-0.005737121,96,4996
-0.005606596,102,5089
-0.005757201,101,5200
-0.005636717,100,5275
-0.005385708,102,5368
-0.005325466,100,5460
-0.005184901,99,5553
-0.005265224,98,5646
-0.005696959,98,5739
-0.005646758,98,5832
-0.005325466,104,5925
-0.005245143,98,6018
-0.005646758,100,6111
-0.005506192,101,6235
-0.00541583,97,6296
-0.005767241,95,6389
-0.005305385,97,6483
-0.005385708,101,6575
-0.005646758,101,6668
-0.005686918,99,6761
-0.005536314,96,6854
-0.005516233,102,6946
-0.005335506,96,7039
-0.005496152,101,7132
-0.005476072,99,7243
-0.005355587,101,7326
-0.005325466,98,7411
-0.005486112,98,7504
-0.005817443,97,7596
-0.005817443,101,7689
-0.005847564,99,7782
-0.00601825,98,7875
-0.005626677,100,7968
-0.005204982,101,8063
-0.005586515,99,8154
-0.00601825,98,8265
-0.005787323,97,8339
-0.00572708,101,8432
-0.00542587,102,8525
-0.005395749,97,8618
-0.005847564,98,8711
-0.005887726,101,8804
-0.005506192,100,8903
-0.005285304,98,8989
-0.005676879,99,9082
-0.005486112,99,9175
-0.005235103,98,9286
-0.005194942,100,9361
-0.005305385,101,9454
-0.005235103,98,9547
-0.004883691,99,9639
-0.005204982,96,9732
-0.005596556,99,9825
