Force(N),Distance(mm),Time(ms)
-0.00009240263,102,626
0.0004296958,103,665
0.0005300993,99,724
0.000238929,99,816
0.00008832374,99,909
0.0002690501,99,1002
0.0002590097,101,1114
0.000008000907,101,1187
0.00005820268,99,1280
-0.0001727255,102,1373
0.00001804126,99,1465
0.0001887273,101,1558
-0.0002329676,98,1651
-0.0002329676,98,1743
-0.0004036535,99,1836
-0.0003132904,97,1935
0.0002790905,98,2022
0.00008832374,99,2133
-0.00009240263,101,2207
0.00007828338,102,2300
-0.0005341782,98,2392
-0.0001626851,99,2485
0.0004196554,100,2578
0.0001284851,100,2670
-0.00005224121,104,2763
-0.00006228157,99,2856
-0.0004136939,100,2949
-0.00005224121,100,3041
-0.00005224121,97,3153
-0.0001928061,100,3227
-0.0005442185,100,3319
-0.0006245414,99,3412
-0.0003936132,97,3505
-0.000132564,99,3597
0.000409615,101,3690
0.0001084044,98,3783
0.0001987676,97,3875
0.00001804126,102,3978
0.0002188483,100,4061
0.0004196554,99,4173
-0.00007232192,96,4246
-0.0002932097,99,4343
0.00009836409,99,4432
0.0001686466,102,4524
-0.00006228157,100,4617
0.00003812197,98,4710
0.00005820268,103,4803
-0.000443815,96,4895
-0.0002028465,101,4988
0.0001786869,98,5081
-0.0002229272,99,5192
0.000008000907,99,5266
0.0001987676,98,5359
0.000238929,99,5451
-0.00009240263,95,5544
0.0001385255,100,5637
0.0005702607,100,5730
0.0002489694,101,5822
-0.00003216051,98,5915
0.00006824303,98,6021
-0.0005241379,96,6100
-0.0005241379,95,6212
-0.0003534518,96,6286
-0.00008236227,99,6387
0.0001586062,99,6471
0.0001586062,98,6564
-0.00004220086,100,6657
-0.0001124833,98,6749
-0.0002831693,100,6842
-0.0003534518,98,6935
-0.0005442185,99,7027
-0.0006446219,100,7120
-0.0005442185,100,7232
-0.00009240263,98,7306
0.0002991712,98,7398
-0.0000120798,99,7491
0.00008832374,98,7584
-0.00009240263,95,7676
-0.00007232192,96,7769
0.0002790905,94,7862
0.0003092115,97,7955
0.00006824303,95,8047
0.0002690501,97,8140
0.0004497765,95,8252
0.0001485658,100,8325
0.0001485658,94,8429
-0.0002329676,97,8511
-0.0002630886,96,8603
-0.000002039447,94,8696
-0.0002128869,98,8789
-0.0003735325,95,8882
-0.0003333711,95,8974
-0.0004638957,96,9067
-0.00003216051,94,9160
0.0001084044,98,9257
0.0001686466,97,9345
0.0001686466,95,9438
0.0003493729,96,9530
0.0002489694,94,9623
-0.0002128869,97,9716
0.0002891308,95,9808
0.0005401396,97,9901
0.000409615,96,9994
0.0004296958,96,10092
-0.0002229272,95,10179
0.00002808161,94,10291
0.0002188483,100,10365
0.0001084044,96,10457
0.0003694536,96,10550
0.0001686466,96,10643
-0.000443815,96,10735
0.0002288887,96,10828
0.00008832374,95,10921
0.0001184448,95,11014
-0.0002530483,97,11106
-0.0004839764,98,11199
-0.0006446219,96,11310
-0.0003132904,98,11384
-0.0001124833,92,11477
0.000208808,96,11570
0.0004397361,95,11663
0.0005200589,93,11755
0.0002790905,95,11848
-0.0001727255,98,11941
-0.000273129,95,12033
0.00005820268,97,12134
0.0003895343,95,12219
0.00009836409,97,12330
0.0002690501,96,12404
0.0009417538,93,12499
0.0001284851,96,12589
-0.0001124833,96,12682
0.0001184448,94,12775
0.00003812197,94,12867
-0.0003534518,94,12960
-0.0002329676,95,13053
0.0001987676,94,13146
0.0004899378,97,13238
0.0002590097,96,13350
-0.0001426044,95,13424
0.0002188483,97,13516
0.0004497765,95,13609
0.0001887273,95,13702
-0.0001727255,97,13794
-0.0000120798,92,13887
0.0004598168,94,13980
0.0004296958,95,14073
0.000208808,93,14176
0.0001084044,94,14258
0.0001686466,91,14370
-0.000102443,94,14443
-0.0001426044,94,14541
-0.0004036535,94,14629
-0.0003835729,96,14722
-0.00009240263,93,14814
0.0001686466,92,14907
0.000238929,93,15000
0.0002590097,95,15092
0.0003995747,94,15185
0.00004816232,96,15278
-0.000132564,94,15375
0.0005401396,94,15463
0.0004397361,91,15556
-0.00006228157,95,15649
0.0003393326,95,15741
0.0003594133,93,15834
0.0002489694,94,15927
-0.0001124833,93,16019
-0.0003835729,93,16112
0.0001686466,92,16206
0.0001586062,94,16297
-0.0002128869,97,16409
-0.0002530483,96,16483
0.0006405432,90,16576
0.0003895343,93,16668
0.00009836409,93,16761
-0.0002630886,93,16854
0.00007828338,93,16946
-0.0000120798,93,17039
-0.0002329676,94,17132
-0.0000120798,94,17224
-0.0001626851,94,17317
0.0001987676,90,17429
0.0001084044,96,17503
-0.0007149045,90,17595
-0.0001225237,93,17688
0.0001887273,93,17781
-0.0001727255,94,17873
0.00005820268,93,17966
0.0004497765,90,18059
0.0002891308,94,18151
-0.00003216051,93,18247
-0.00006228157,93,18337
-0.0003132904,94,18448
-0.0003735325,96,18522
-0.000273129,94,18615
0.0001887273,90,18708
0.0001385255,93,18800
-0.0003233308,91,18893
-0.0003333711,92,18986
0.00009836409,91,19078
0.000409615,92,19171
0.0002489694,90,19264
0.000409615,92,19357
0.0001686466,90,19468
-0.000132564,92,19542
-0.0002430079,94,19635
-0.0001928061,90,19727
0.0003895343,94,19820
0.0004698572,91,19913
0.000208808,91,20005
0.0002590097,92,20098
-0.00009240263,94,20191
-0.0001727255,90,20289
0.00005820268,94,20376
-0.0002430079,93,20488
0.00008832374,92,20562
0.0002288887,93,20655
-0.0001225237,92,20747
0.0001786869,90,20840
-0.0001928061,91,20932
-0.0002430079,90,21025
0.000238929,91,21118
0.0003292922,90,21210
0.0005100185,90,21303
0.0009517941,93,21396
0.0002690501,90,21503
-0.00005224121,90,21581
0.0002188483,89,21674
0.0001385255,91,21767
-0.0001727255,93,21859
0.0001184448,90,21952
0.000409615,89,22045
0.0001786869,90,22137
-0.0002128869,91,22230
-0.00009240263,91,22327
-0.0001225237,90,22416
0.0003895343,92,22527
0.0002790905,90,22601
-0.00003216051,89,22694
-0.00004220086,90,22786
0.0001786869,87,22879
0.00004816232,89,22972
-0.000002039447,91,23064
-0.00002212015,87,23157
-0.00009240263,91,23250
-0.0001225237,91,23342
0.00009836409,91,23435
0.0001485658,91,23547
