Force(N),Distance(mm),Time(ms)
0.001296461,124,259
0.001316541,124,306
0.001085613,124,398
0.001617752,124,493
0.005021431,120,584
0.0109352,128,676
0.02079483,122,769
0.03880722,124,862
0.06133778,125,954
0.08323579,124,1047
0.1062784,124,1159
0.1330359,125,1232
0.1614401,123,1330
0.1908985,123,1417
0.2219131,126,1510
0.2558496,125,1603
0.2928784,121,1695
0.3319755,122,1788
0.3739241,122,1881
0.4164048,125,1973
0.4575,126,2066
0.4980329,124,2177
0.5386763,124,2251
0.5809462,123,2344
0.623457,121,2437
0.6680763,125,2529
0.7217922,125,2622
0.780468,120,2715
0.8432905,125,2807
0.9099986,123,2902
0.9753412,125,2992
1.043304,123,3085
1.114601,124,3196
1.190988,123,3270
1.269644,122,3363
1.346935,124,3456
1.426896,122,3548
1.508394,125,3641
1.591558,122,3737
1.677021,123,3826
1.763399,122,3919
1.857356,123,4011
1.956816,121,4104
2.052069,126,4215
2.144821,121,4289
2.232002,119,4382
2.317335,122,4475
2.408381,123,4572
2.503563,119,4660
2.609951,121,4753
2.716981,121,4845
2.820979,122,4938
2.924294,122,5031
3.011254,122,5123
3.093524,121,5240
3.17442,121,5308
3.238798,122,5411
3.299643,123,5494
3.355638,123,5586
3.411251,121,5679
3.469064,124,5772
3.519456,121,5864
3.568855,124,5957
3.61998,121,6050
3.676096,124,6144
3.727201,123,6255
3.775596,122,6327
3.83897,124,6420
3.899755,122,6513
3.953059,122,6605
4.004416,122,6698
4.040701,119,6791
4.069678,122,6883
4.108373,121,6979
4.155101,120,7069
4.190584,122,7161
4.213536,119,7272
4.235303,122,7346
4.25676,120,7439
4.24943,122,7532
4.218586,120,7624
4.181126,117,7717
4.133334,122,7814
4.093534,124,7902
4.067881,120,7995
4.059527,122,8088
4.056354,121,8180
4.041123,122,8291
4.027147,120,8365
4.027338,119,8458
4.042257,122,8551
4.069637,120,8653
4.097349,122,8736
4.127631,121,8829
4.155302,118,8921
4.169328,123,9014
4.170021,117,9106
4.158836,122,9199
4.149398,119,9310
4.138815,120,9384
4.122219,117,9488
4.121827,117,9570
4.116707,120,9662
4.111175,122,9755
4.116868,120,9847
4.13249,122,9940
4.152229,123,10033
4.144528,120,10125
4.121185,119,10221
4.111646,124,10332
4.116526,123,10403
4.112992,120,10496
4.083343,122,10589
4.051334,122,10681
4.021353,120,10774
3.991152,120,10866
